acresburned,adminunit,archiveyear,county,extinguished,fatalities,latitude,firelocation,longitude,firename,searchdescription,started,structuresdamaged,structuresdestroyed,structuresevacuated,structuresthreatened,timestarted,timeextinguished,dayofweekstartedname,dayofweekstartednum,duration,date_established,population_jul_2019,areasqmi,areakm2,popdensitypersqmi,caucus
257314,Stanislaus National Forest/Yosemite National Park,2013,Tuolumne,2013-09-06 18:30:00+00:00,,37.857,3 miles east of Groveland along Hwy 120,-120.086,Rim Fire,The Rim Fire was east of Groveland along Highway 20.,2013-08-17 15:25:00+00:00,,,,,2013-08-17 15:25:00+00:00,2013-09-06 18:30:00+00:00,Sat,6,20.12847222,1850,55620,2236,5791,24.87477639,Rural
1070,Stanislaus National Forest,2013,"Tuolumne, Madera",2013-08-14 08:30:00+00:00,,38.25108,"Near Beardsley Lake, northeast of Sonora",-120.02778,Power Fire,"The Power Fire burned in August 2013 near Beardsley Lake, northeast of Sonora on the Stanislaus National Forest in Tuolumne County. ",2013-08-05 06:00:00+00:00,,,,,2013-08-05 06:00:00+00:00,2013-08-14 08:30:00+00:00,Mon,1,9.104166667,1850,55620,2236,5791,24.87477639,"Rural, Rural"
100,CAL FIRE Tuolumne-Calaveras Unit,2013,"Tuolumne, Fresno, Plumas, Lake",2013-06-02 16:55:00+00:00,,37.91529,off Lime Kiln Rd,-120.33313,Murphy Fire,The Murphy Fire burned in June 2013 off Lime Kiln Road in Tuolumne County. ,2013-06-02 13:30:00+00:00,,,,,2013-06-02 13:30:00+00:00,2013-06-02 16:55:00+00:00,Sun,0,0.142361111,1850,55620,2236,5791,24.87477639,"Rural, Urban, Rural, Rural"
487,CAL FIRE Tuolumne-Calaveras Unit,2014,Tuolumne,2014-06-05 20:00:00+00:00,,37.76617,"near Bonds Flat Rd & La Grange Rd (J59), west of Don Pedro Reservoir",-120.45087,59 Fire,"The 59 Fire started on June 4, 2014 and burned 487 acres near Bonds Flat Rd & La Grange Rd (J59), west of Don Pedro Reservoir in Tuolumne County.",2014-06-04 11:45:00+00:00,,,,,2014-06-04 11:45:00+00:00,2014-06-05 20:00:00+00:00,Wed,3,1.34375,1850,55620,2236,5791,24.87477639,Rural
269,CAL FIRE Tuolumne-Calaveras Unit,2014,Tuolumne,2014-06-06 09:30:00+00:00,,37.787,"off La Grange Rd (J59) at Hetch Hetchy power lines, northwest shore of Don Pedro Reservoir",-120.452,Hetch Hetchy Fire,"The Hetch Hetchy Fire started on June 5, 2014 and burned 150 acres off J59 (La Grande Rd.) at Hetch Hetchy power lines in Tuolumne County.",2014-06-05 13:04:00+00:00,,,,,2014-06-05 13:04:00+00:00,2014-06-06 09:30:00+00:00,Thu,4,0.851388889,1850,55620,2236,5791,24.87477639,Rural
70,CAL FIRE Tuolumne Caleveras Unit,2014,Tuolumne,2014-09-05 09:15:00+00:00,,37.8316,Hwy 49 & Jacksonville Rd near the community of Moccasin,-120.3434,Jackson Fire,The Jackson Fire started on September 4 and burned 70 acres off Hwy 49 & Jacksonville Rd near the community of Moccasin (Tuolumne County).,2014-09-04 11:51:00+00:00,,,,,2014-09-04 11:51:00+00:00,2014-09-05 09:15:00+00:00,Thu,4,0.891666667,1850,55620,2236,5791,24.87477639,Rural
204,CAL FIRE Tuolumne-Calaveras Unit,2015,Tuolumne,2015-08-04 18:00:00+00:00,,37.823,off Hwy120 and Sprague Rd near Groveland ,-120.15644,Big Creek Fire,"The Big Creek Fire started on July 29, 2015 and burned 204 acres off Hwy 120 and Sprague Rd near Groveland in Tuolumne County and burned 204 acres.",2015-07-29 16:30:00+00:00,,,,,2015-07-29 16:30:00+00:00,2015-08-04 18:00:00+00:00,Wed,3,6.0625,1850,55620,2236,5791,24.87477639,Rural
112,CAL FIRE Tuolumne-Calaveras Unit,2015,"Tuolumne, Tuolumne, Tuolumne, Tuolumne",2015-08-16 19:20:00+00:00,,37.83618,"south of Hwy 108 & Tulloch Rd, south of Lake Tulloch",-120.61691,Tulloch Fire,"The Tulloch Fire started on August 15, 2015 and burned 112 acres south near Hwy 108 & Tulloch Rd, south of Lake Tulloch (Tuolumne County).",2015-08-15 16:11:00+00:00,,,,,2015-08-15 16:11:00+00:00,2015-08-16 19:20:00+00:00,Sat,6,1.13125,1850,55620,2236,5791,24.87477639,"Rural, Rural, Rural, Rural"
108,CAL FIRE Tuolumne-Calaveras Unit,2015,"Tuolumne, Shasta, San Bernardino, Madera, Solano, Lake, Nevada, Santa Clara, Santa Clara, Calaveras",2015-09-15 19:15:00+00:00,,38.04684,"off Old Oak Ranch Rd & Big Hill Rd in the Cedar Ridge area, northeast of Sonora ",-120.30188,Oak Fire,"The Oak Fire started on September 8, 2015 off Old Oak Ranch Rd & Big Hill Rd in the Cedar Ridge area, northeast of Sonora in (Tuolumne County) and burned 108 acres.",2015-09-08 13:23:00+00:00,,3,,,2015-09-08 13:23:00+00:00,2015-09-15 19:15:00+00:00,Tue,2,7.244444444,1850,55620,2236,5791,24.87477639,"Rural, Suburban, Urban, Rural, Suburban, Rural, Rural, Urban, Urban, Rural"
1080,CAL FIRE Tuolumne-Calaveras Unit,2016,Tuolumne,2016-10-04 22:00:00+00:00,,37.79635,off Hwy. 49 and Marshes Flat Road north of Don Pedro Reservoir,-120.32484,Marshes Fire,"The Marshes Fire started on September 26 off Marshes Flat Road at highway 49 near Moccasin in Tuolumne County and burned 1,080 acres.",2016-09-26 12:20:00+00:00,,,,,2016-09-26 12:20:00+00:00,2016-10-04 22:00:00+00:00,Mon,1,8.402777778,1850,55620,2236,5791,24.87477639,Rural
